country,province,district,response,vaccine.type,roundNumber,numbercluster,round_start_date,start_date,end_date,male_sampled,female_sampled,total_sampled,male_vaccinated,female_vaccinated,total_vaccinated,total_missed,status,performance,r_non_compliance,r_house_not_visited,r_childabsent,r_Child_was_asleep,r_Child_is_a_visitor,r_Vaccinated_but_not_FM,other_r,percent_care_giver_informed_sia,abs_reason_farm,abs_reason_market,abs_reason_travelled,abs_reason_in_playground,abs_reason_school,abs_reason_other,nc_reason_no_felt_need,nc_reason_no_care_giver_consent,nc_reason_covid_19,nc_reason_others,nc_reason_vaccines_safety,nc_reason_child_sick,nc_reason_religious_cultural,nc_reason_too_many_rnd,prct_r_non_compliance,prct_r_house_not_visited,prct_r_childabsent,prct_r_Child_was_asleep,prct_r_Child_is_a_visitor,prct_r_Vaccinated_but_not_FM,prct_other_r,proportion_missed_child
GUI,FARANAH,KISSIDOUGOU,GUI-2023-09-01_nOPV,nOPV2,Rnd1,21,2023-10-27T00:00:00Z,2023-10-31,2023-11-01,30,30,60,28,30,58,2,Pass,high,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0.03
GUI,FARANAH,KISSIDOUGOU,GUI-2023-09-01_nOPV,nOPV2,Rnd2,22,2024-05-10T00:00:00Z,2024-05-14,2024-05-15,28,32,60,27,31,58,2,Pass,high,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.03
GUI,FARANAH,KISSIDOUGOU,GUI-2024-10-NID_nOPV,nOPV2,Rnd1,21,2024-11-28T00:00:00Z,2024-12-02,2024-12-03,23,37,60,22,36,58,2,Pass,high,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.03
GUI,FARANAH,KISSIDOUGOU,GUI-2025-01-NID_bOPV-nOPV,nOPV2,Rnd1,21,2025-02-21T00:00:00Z,2025-02-25,2025-02-26,26,34,60,26,34,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUI,FARANAH,KISSIDOUGOU,GUI-2025-01-NID_bOPV-nOPV,nOPV2,Rnd2,21,2025-05-08T00:00:00Z,2025-05-12,2025-05-13,38,22,60,37,21,58,2,Pass,high,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,50,0,50,0,0,0,0,0.03
GUI,FARANAH,KISSIDOUGOU,KANKAN-mOPV,mOPV,Rnd1,21,2020-08-06T00:00:00Z,2020-08-10,2020-11-10,38,22,60,37,22,59,1,Pass,high,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.02
GUI,FARANAH,KISSIDOUGOU,KANKAN-mOPV,mOPV,Rnd2,12,2020-12-19T00:00:00Z,2020-12-23,2020-12-25,31,29,60,31,28,59,1,Pass,high,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.02
GUI,FARANAH,KISSIDOUGOU,bOPV,bOPV,Rnd1,12,2021-10-24T00:00:00Z,2021-10-28,2021-10-29,27,33,60,26,32,58,2,Pass,high,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0.03
GUI,KANKAN,KANKAN,GUI-2023-09-01_nOPV,nOPV2,Rnd0,12,2023-09-08T00:00:00Z,2023-09-12,2023-09-13,26,34,60,24,25,49,11,Fail,poor,1,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9.09,18.18,0,0,0,72.73,0,0.18
GUI,KANKAN,KANKAN,GUI-2023-09-01_nOPV,nOPV2,Rnd1,14,2023-10-27T00:00:00Z,2023-10-31,2023-11-01,36,24,60,24,15,39,21,Fail,very poor,0,3,5,0,0,11,2,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,14.29,23.81,0,0,52.38,9.52,0.35
